scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us
clique,0.05,7300,0,1,0,0
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us
clique,0.05,7300,0,1,0,0
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us
clique,0.1,14600,0,1,0,0
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us
clique,0.05,7300,0,1,0,0
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us
clique,0.1,14600,0,1,0,0
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us
clique,0.05,7300,0,1,0,0
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us
clique,0.1,14600,0,1,0,0
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us
clique,0.05,7300,0,1,0,0
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us
clique,0.1,14600,0,1,0,0
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us,cnp_sent,cnp_recv,ce_packets
hubs,0.3,3900,600.617,6.49332,45.0925,150.177,48075,47748,525986
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us,cnp_sent,cnp_recv,ce_packets
hubs,0.4,5200,585.068,8.88785,46.0158,144.199,69126,68752,645283
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us,cnp_sent,cnp_recv,ce_packets
hubs,0.5,6400,557.756,11.4746,70.2122,146.99,138767,137488,1035876
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us,cnp_sent,cnp_recv,ce_packets
hubs,0.6,7700,541.114,14.2299,71.7792,148.38,184899,183391,1199062
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us,cnp_sent,cnp_recv,ce_packets
hubs,0.7,9000,593.102,15.1745,98.931,148.665,296958,293715,1626051
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us,cnp_sent,cnp_recv,ce_packets
hubs,0.8,10300,662.954,15.5365,114.067,146.879,524652,516535,2367374
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us,cnp_sent,cnp_recv,ce_packets
hubs,0.9,11600,699.528,16.5826,123.884,149.076,846307,829869,3662567
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us,cnp_sent,cnp_recv,ce_packets
hubs,1,12800,723.537,17.6909,126.205,148.634,961200,941451,3958627
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us,cnp_sent,cnp_recv,ce_packets
matching,0.05,600,517.38,1.15969,4.79678,7.741,0,0,0
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us,cnp_sent,cnp_recv,ce_packets
matching,0.1,1200,893.443,1.34312,4.87719,7.852,0,0,0
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us,cnp_sent,cnp_recv,ce_packets
matching,0.2,2600,1468.83,1.77012,4.83738,7.917,0,0,0
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us,cnp_sent,cnp_recv,ce_packets
matching,0.3,3800,1778.56,2.13656,4.88892,7.951,0,0,0
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us,cnp_sent,cnp_recv,ce_packets
matching,0.4,5200,2027.8,2.56435,4.88706,7.95,0,0,0
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us,cnp_sent,cnp_recv,ce_packets
matching,0.5,6400,2183.24,2.93142,4.90609,7.995,0,0,0
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us,cnp_sent,cnp_recv,ce_packets
matching,0.6,7600,2305.27,3.29679,4.91196,8.024,0,0,0
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us,cnp_sent,cnp_recv,ce_packets
matching,0.7,9000,2417.22,3.72329,4.98408,10.402,0,0,0
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us,cnp_sent,cnp_recv,ce_packets
matching,0.8,10200,2493.95,4.0899,4.9823,10.108,0,0,0
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us,cnp_sent,cnp_recv,ce_packets
matching,0.9,11600,2567.64,4.51776,4.98435,9.956,0,0,0
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us,cnp_sent,cnp_recv,ce_packets
matching,1,12800,2621.07,4.8835,4.98602,9.804,0,0,0
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us,cnp_sent,cnp_recv,ce_packets
clique,0.05,700,201.24,3.47843,40.6287,79.801,0,0,0
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us,cnp_sent,cnp_recv,ce_packets
clique,0.1,1300,203.638,6.38389,79.2799,162.698,67,65,2377
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us,cnp_sent,cnp_recv,ce_packets
clique,0.2,2600,151.158,17.2006,97.3931,162.083,445,443,23440
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us,cnp_sent,cnp_recv,ce_packets
clique,0.3,3900,133.49,29.2156,107.787,161.223,1177,1175,65440
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us,cnp_sent,cnp_recv,ce_packets
clique,0.4,5200,124.282,41.8403,114.027,160.363,2242,2240,127631
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us,cnp_sent,cnp_recv,ce_packets
clique,0.5,6400,119.079,53.7456,117.946,159.548,3526,3523,202410
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us,cnp_sent,cnp_recv,ce_packets
clique,0.6,7700,115.281,66.7934,121.034,158.688,5247,5245,303490
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us,cnp_sent,cnp_recv,ce_packets
clique,0.7,9000,112.538,79.9727,123.34,157.828,7298,7296,424126
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us,cnp_sent,cnp_recv,ce_packets
clique,0.8,10300,116.206,88.6354,125.036,156.923,9685,9680,563898
